dataset,year,measurement_date,veg_type,plot_transect,measurement_number,value,min.depth,max.depth
Territorial_park_survey,1986,August?,HER,NA,6,20,NA,NA
Territorial_park_survey,1986,August?,HER,NA,6,21,NA,NA
Territorial_park_survey,1986,August?,HER,NA,6,18,NA,NA
Territorial_park_survey,1986,August?,HER,NA,6,20,NA,NA
Territorial_park_survey,1986,August?,HER,NA,6,22,NA,NA
Territorial_park_survey,1986,August?,HER,NA,6,17,NA,NA
Territorial_park_survey,1986,August?,HER,NA,6,21,NA,NA
Territorial_park_survey,1986,August?,HER,NA,6,28,NA,NA
Territorial_park_survey,1986,August?,HER,NA,6,27,NA,NA
Territorial_park_survey,1986,August?,HER,NA,6,23,NA,NA
Territorial_park_survey,1986,August?,HER,NA,13,48,NA,NA
Territorial_park_survey,1986,August?,HER,NA,13,32,NA,NA
Territorial_park_survey,1986,August?,HER,NA,13,23,NA,NA
Territorial_park_survey,1986,August?,HER,NA,13,32,NA,NA
Territorial_park_survey,1986,August?,HER,NA,13,28,NA,NA
Territorial_park_survey,1986,August?,HER,NA,13,30,NA,NA
Territorial_park_survey,1986,August?,HER,NA,13,33,NA,NA
Territorial_park_survey,1986,August?,HER,NA,13,22,NA,NA
Territorial_park_survey,1986,August?,HER,NA,13,37,NA,NA
Territorial_park_survey,1986,August?,HER,NA,13,24,NA,NA
Territorial_park_survey,1986,August?,HER,NA,15,26,NA,NA
Territorial_park_survey,1986,August?,HER,NA,15,33,NA,NA
Territorial_park_survey,1986,August?,HER,NA,15,29,NA,NA
Territorial_park_survey,1986,August?,HER,NA,15,30,NA,NA
Territorial_park_survey,1986,August?,HER,NA,15,20,NA,NA
Territorial_park_survey,1986,August?,HER,NA,15,23,NA,NA
Territorial_park_survey,1986,August?,HER,NA,15,17,NA,NA
Territorial_park_survey,1986,August?,HER,NA,15,23,NA,NA
Territorial_park_survey,1986,August?,HER,NA,15,18,NA,NA
Territorial_park_survey,1986,August?,HER,NA,15,20,NA,NA
Territorial_park_survey,1986,August?,KOM,NA,8,51,NA,NA
Territorial_park_survey,1986,August?,KOM,NA,8,40,NA,NA
Territorial_park_survey,1986,August?,KOM,NA,8,46,NA,NA
Territorial_park_survey,1986,August?,KOM,NA,8,48,NA,NA
Territorial_park_survey,1986,August?,KOM,NA,8,34,NA,NA
Territorial_park_survey,1986,August?,KOM,NA,8,35,NA,NA
Territorial_park_survey,1986,August?,KOM,NA,8,15,NA,NA
Territorial_park_survey,1986,August?,KOM,NA,8,20,NA,NA
Territorial_park_survey,1986,August?,KOM,NA,8,14,NA,NA
Territorial_park_survey,1986,August?,KOM,NA,8,22,NA,NA
Territorial_park_survey,1986,August?,KOM,NA,14,30,NA,NA
Territorial_park_survey,1986,August?,KOM,NA,14,39,NA,NA
Territorial_park_survey,1986,August?,KOM,NA,14,41,NA,NA
Territorial_park_survey,1986,August?,KOM,NA,14,32,NA,NA
Territorial_park_survey,1986,August?,KOM,NA,14,43,NA,NA
Territorial_park_survey,1986,August?,KOM,NA,14,34,NA,NA
Territorial_park_survey,1986,August?,KOM,NA,14,40,NA,NA
Territorial_park_survey,1986,August?,KOM,NA,14,30,NA,NA
Territorial_park_survey,1986,August?,KOM,NA,14,33,NA,NA
Territorial_park_survey,1986,August?,KOM,NA,14,27,NA,NA
Burn_2009,2003,12-Aug-03,KOM,NA,NA,45.5,40,65
Burn_2009,2004,09-Aug-04,KOM,NA,NA,49,40,65
Burn_2009,2005,04-Aug-05,KOM,NA,NA,46.5,41,59
Burn_2009,2006,01-Aug-06,KOM,NA,NA,50.5,46,56
Snow_station_number,2006,16-Aug-06,KOM,841,1,45,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,840,1,45,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,839,1,60,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,838,1,50,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,837,1,55,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,836,1,60,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,835,1,60,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,834,1,45,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,833,1,60,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,832,1,45,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,841,2,35,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,840,2,45,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,839,2,55,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,838,2,45,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,837,2,55,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,836,2,40,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,835,2,50,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,834,2,45,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,833,2,55,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,832,2,45,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,841,3,45,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,840,3,45,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,839,3,40,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,838,3,50,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,837,3,50,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,836,3,35,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,835,3,60,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,834,3,45,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,833,3,50,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,832,3,50,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,841,4,40,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,840,4,45,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,839,4,50,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,838,4,50,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,837,4,50,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,836,4,40,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,835,4,50,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,834,4,35,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,833,4,65,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,832,4,50,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,841,5,45,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,840,5,40,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,839,5,40,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,838,5,50,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,837,5,30,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,836,5,60,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,835,5,55,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,834,5,35,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,833,5,50,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,832,5,50,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,841,6,40,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,840,6,40,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,839,6,30,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,838,6,45,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,837,6,40,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,836,6,50,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,835,6,70,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,834,6,40,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,833,6,40,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,832,6,50,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,841,7,35,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,840,7,40,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,839,7,50,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,838,7,50,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,837,7,40,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,836,7,55,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,835,7,45,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,834,7,20,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,833,7,50,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,832,7,50,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,841,8,45,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,840,8,40,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,839,8,50,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,838,8,55,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,837,8,50,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,836,8,55,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,835,8,45,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,834,8,45,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,833,8,40,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,832,8,50,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,841,9,40,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,840,9,40,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,839,9,50,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,838,9,50,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,837,9,50,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,836,9,40,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,835,9,50,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,834,9,45,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,833,9,50,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,832,9,50,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,841,10,45,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,840,10,35,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,839,10,50,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,838,10,50,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,837,10,40,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,836,10,50,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,835,10,70,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,834,10,45,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,833,10,55,NA,NA
Snow_station_number,2006,16-Aug-06,KOM,832,10,50,NA,NA
