date,day,site,plot,depth,moisture,veg.type,
24 June 2017,175,CC,ALCC1,23.6,39.3,HE,
24 June 2017,175,CC,ALCC1,24.9,37.9,HE,
24 June 2017,175,CC,ALCC1,25.6,40,HE,
24 June 2017,175,CC,ALCC2,19.3,37.8,HE,
24 June 2017,175,CC,ALCC2,19.9,43.6,HE,
24 June 2017,175,CC,ALCC2,22.1,35.4,HE,
24 June 2017,175,CC,ALCC3,21.4,52.9,HE,
24 June 2017,175,CC,ALCC3,19.8,54.1,HE,
24 June 2017,175,CC,ALCC3,19.2,54.8,HE,
24 June 2017,175,CC,ALCC4,11.4,45.9,HE,
24 June 2017,175,CC,ALCC4,14.2,41.9,HE,
24 June 2017,175,CC,ALCC4,12.4,37.9,HE,
24 June 2017,175,CC,ALCC5,9.5,35.4,HE,
24 June 2017,175,CC,ALCC5,11.1,30,HE,
24 June 2017,175,CC,ALCC5,12.8,35.6,HE,
24 June 2017,175,CC,ALCC6,13.5,34.3,HE,
24 June 2017,175,CC,ALCC6,11.4,49,HE,
24 June 2017,175,CC,ALCC6,10.8,50.2,HE,
25 June 2017,176,CC,ALCC7,27.6,49.5,KO,
25 June 2017,176,CC,ALCC7,26.4,38.6,KO,
25 June 2017,176,CC,ALCC7,24.3,42.5,KO,
25 June 2017,176,CC,ALCC8,27,38.3,KO,
25 June 2017,176,CC,ALCC8,28.8,35.9,KO,
25 June 2017,176,CC,ALCC8,33.6,33.9,KO,
25 June 2017,176,CC,ALCC9,28.1,39.4,KO,
25 June 2017,176,CC,ALCC9,23.9,39.9,KO,
25 June 2017,176,CC,ALCC9,25.8,36,KO,
25 June 2017,176,CC,ALCC10,48.2,48.2,KO,
25 June 2017,176,CC,ALCC10,42.7,42.7,KO,
25 June 2017,176,CC,ALCC10,40.8,40.8,KO,
25 June 2017,176,CC,ALCC11,35.7,32.5,KO,
25 June 2017,176,CC,ALCC11,33.2,36.8,KO,
25 June 2017,176,CC,ALCC11,35.1,42.2,KO,
25 June 2017,176,CC,ALCC12,33.5,43.9,KO,
25 June 2017,176,CC,ALCC12,34.4,39.5,KO,
25 June 2017,176,CC,ALCC12,33.1,46.4,KO,
25 June 2017,176,PR,ALPR1,42.4,38.6,,
25 June 2017,176,PR,ALPR1,29.2,32.5,,
25 June 2017,176,PR,ALPR1,28.7,37.4,,
25 June 2017,176,PR,ALPR2,20.6,34.7,,
25 June 2017,176,PR,ALPR2,20.9,35.9,,
25 June 2017,176,PR,ALPR2,22.4,46.7,,
25 June 2017,176,PR,ALPR3,29.9,39.5,,
25 June 2017,176,PR,ALPR3,29,39.1,,
25 June 2017,176,PR,ALPR3,28.9,39.2,,
25 June 2017,176,PR,ALPR4,31.6,42.8,,
25 June 2017,176,PR,ALPR4,30.1,40.5,,
25 June 2017,176,PR,ALPR4,31,37.4,,
25 June 2017,176,PR,ALPR5,25.5,21.2,,
25 June 2017,176,PR,ALPR5,29.5,33.8,,
25 June 2017,176,PR,ALPR5,31,19.5,,
25 June 2017,176,PR,ALPR6,29,52.1,,
25 June 2017,176,PR,ALPR6,24.6,46.9,,
25 June 2017,176,PR,ALPR6,25.1,42.5,,
25 June 2017,176,PR,ALPR7,30.2,39.5,,
25 June 2017,176,PR,ALPR7,32.3,40.6,,
25 June 2017,176,PR,ALPR7,29.4,40.5,,
25 June 2017,176,PR,ALPR8,26.8,35.9,,
25 June 2017,176,PR,ALPR8,21.3,34.2,,
25 June 2017,176,PR,ALPR8,29.5,23.5,,
25 June 2017,176,PR,ALPR9,16.5,16.5,,
25 June 2017,176,PR,ALPR9,13.7,13.7,,
25 June 2017,176,PR,ALPR9,14.5,14.5,,
25 June 2017,176,PR,ALPR10,17.5,17.5,,
25 June 2017,176,PR,ALPR10,16,16,,
25 June 2017,176,PR,ALPR10,17,17,,
25 June 2017,176,PR,ALPR11,12.5,12.5,,
25 June 2017,176,PR,ALPR11,12.1,12.1,,
25 June 2017,176,PR,ALPR11,14.4,14.4,,
25 June 2017,176,PR,ALPR12,13.1,13.1,,
25 June 2017,176,PR,ALPR12,15.2,15.2,,
25 June 2017,176,PR,ALPR12,15.1,15.1,,
27 June 2017,178,CC,ALCC1,28.4,34.2,HE,
27 June 2017,178,CC,ALCC1,26.4,37.5,HE,
27 June 2017,178,CC,ALCC1,26.5,29.4,HE,
27 June 2017,178,CC,ALCC2,22.7,35.1,HE,
27 June 2017,178,CC,ALCC2,22.6,45.9,HE,
27 June 2017,178,CC,ALCC2,26.1,33.1,HE,
27 June 2017,178,CC,ALCC3,22.9,51.9,HE,
27 June 2017,178,CC,ALCC3,24.6,51.4,HE,
27 June 2017,178,CC,ALCC3,23.2,52.5,HE,
