"","site_id","year","month","day","variable","value"
"37","i36",1901,1,1,"cru_324_frs",31
"104","i36",1901,2,1,"cru_324_frs",28
"171","i36",1901,3,1,"cru_324_frs",31
"238","i36",1901,4,1,"cru_324_frs",30
"305","i36",1901,5,1,"cru_324_frs",29.11
"372","i36",1901,6,1,"cru_324_frs",11.94
"439","i36",1901,7,1,"cru_324_frs",4.45
"506","i36",1901,8,1,"cru_324_frs",9.77
"573","i36",1901,9,1,"cru_324_frs",22
"640","i36",1901,10,1,"cru_324_frs",30.93
"707","i36",1901,11,1,"cru_324_frs",30
"774","i36",1901,12,1,"cru_324_frs",31
"841","i36",1902,1,1,"cru_324_frs",31
"908","i36",1902,2,1,"cru_324_frs",28
"975","i36",1902,3,1,"cru_324_frs",31
"1042","i36",1902,4,1,"cru_324_frs",30
"1109","i36",1902,5,1,"cru_324_frs",28.84
"1176","i36",1902,6,1,"cru_324_frs",12.7
"1243","i36",1902,7,1,"cru_324_frs",3.56
"1310","i36",1902,8,1,"cru_324_frs",8.55
"1377","i36",1902,9,1,"cru_324_frs",22
"1444","i36",1902,10,1,"cru_324_frs",30.76
"1511","i36",1902,11,1,"cru_324_frs",30
"1578","i36",1902,12,1,"cru_324_frs",31
"1645","i36",1903,1,1,"cru_324_frs",31
"1712","i36",1903,2,1,"cru_324_frs",28
"1779","i36",1903,3,1,"cru_324_frs",31
"1846","i36",1903,4,1,"cru_324_frs",30
"1913","i36",1903,5,1,"cru_324_frs",29.18
"1980","i36",1903,6,1,"cru_324_frs",10.93
"2047","i36",1903,7,1,"cru_324_frs",4.84
"2114","i36",1903,8,1,"cru_324_frs",8.31
"2181","i36",1903,9,1,"cru_324_frs",22.8
"2248","i36",1903,10,1,"cru_324_frs",31
"2315","i36",1903,11,1,"cru_324_frs",30
"2382","i36",1903,12,1,"cru_324_frs",31
"2449","i36",1904,1,1,"cru_324_frs",31
"2516","i36",1904,2,1,"cru_324_frs",29
"2583","i36",1904,3,1,"cru_324_frs",31
"2650","i36",1904,4,1,"cru_324_frs",30
"2717","i36",1904,5,1,"cru_324_frs",28.91
"2784","i36",1904,6,1,"cru_324_frs",13.47
"2851","i36",1904,7,1,"cru_324_frs",5.85
"2918","i36",1904,8,1,"cru_324_frs",10.27
"2985","i36",1904,9,1,"cru_324_frs",24.44
"3052","i36",1904,10,1,"cru_324_frs",30.82
"3119","i36",1904,11,1,"cru_324_frs",30
"3186","i36",1904,12,1,"cru_324_frs",31
"3253","i36",1905,1,1,"cru_324_frs",31
"3320","i36",1905,2,1,"cru_324_frs",28
"3387","i36",1905,3,1,"cru_324_frs",31
"3454","i36",1905,4,1,"cru_324_frs",30
"3521","i36",1905,5,1,"cru_324_frs",28.09
"3588","i36",1905,6,1,"cru_324_frs",10.43
"3655","i36",1905,7,1,"cru_324_frs",5.03
"3722","i36",1905,8,1,"cru_324_frs",9.03
"3789","i36",1905,9,1,"cru_324_frs",23.59
"3856","i36",1905,10,1,"cru_324_frs",30.99
"3923","i36",1905,11,1,"cru_324_frs",30
"3990","i36",1905,12,1,"cru_324_frs",31
"4057","i36",1906,1,1,"cru_324_frs",31
"4124","i36",1906,2,1,"cru_324_frs",28
"4191","i36",1906,3,1,"cru_324_frs",31
"4258","i36",1906,4,1,"cru_324_frs",30
"4325","i36",1906,5,1,"cru_324_frs",28.55
"4392","i36",1906,6,1,"cru_324_frs",10.43
"4459","i36",1906,7,1,"cru_324_frs",4.64
"4526","i36",1906,8,1,"cru_324_frs",10.02
"4593","i36",1906,9,1,"cru_324_frs",22.57
"4660","i36",1906,10,1,"cru_324_frs",30.73
"4727","i36",1906,11,1,"cru_324_frs",30
"4794","i36",1906,12,1,"cru_324_frs",31
"4861","i36",1907,1,1,"cru_324_frs",31
"4928","i36",1907,2,1,"cru_324_frs",28
"4995","i36",1907,3,1,"cru_324_frs",31
"5062","i36",1907,4,1,"cru_324_frs",30
"5129","i36",1907,5,1,"cru_324_frs",27.67
"5196","i36",1907,6,1,"cru_324_frs",12.19
"5263","i36",1907,7,1,"cru_324_frs",5.43
"5330","i36",1907,8,1,"cru_324_frs",9.77
"5397","i36",1907,9,1,"cru_324_frs",22.8
"5464","i36",1907,10,1,"cru_324_frs",30.96
"5531","i36",1907,11,1,"cru_324_frs",30
"5598","i36",1907,12,1,"cru_324_frs",31
"5665","i36",1908,1,1,"cru_324_frs",31
"5732","i36",1908,2,1,"cru_324_frs",29
"5799","i36",1908,3,1,"cru_324_frs",31
"5866","i36",1908,4,1,"cru_324_frs",30
"5933","i36",1908,5,1,"cru_324_frs",28.48
"6000","i36",1908,6,1,"cru_324_frs",11.43
"6067","i36",1908,7,1,"cru_324_frs",5.43
"6134","i36",1908,8,1,"cru_324_frs",10.27
"6201","i36",1908,9,1,"cru_324_frs",24.02
"6268","i36",1908,10,1,"cru_324_frs",31
"6335","i36",1908,11,1,"cru_324_frs",30
"6402","i36",1908,12,1,"cru_324_frs",31
"6469","i36",1909,1,1,"cru_324_frs",31
