Species,Year,Groups,Size
Caribou,1988,22,40
Caribou,1989,5,32
Caribou,1990,6,3
Caribou,1991,13,30
Caribou,1992,13,24
Caribou,1993,32,25
Caribou,1994,33,27
Caribou,1995,38,18
Caribou,1996,18,40
Caribou,1997,16,30
Caribou,1998,58,75
Caribou,1999,11,28
Caribou,2000,19,60
Caribou,2001,38,74
Caribou,2002,19,38
Caribou,2003,53,21
Caribou,2004,72,75
Caribou,2005,116,51
Caribou,2006,111,40
Caribou,2007,160,70
Caribou,2008,35,49
Caribou,2009,80,50
Caribou,2010,84,40
Muskox,1988,,
Muskox,1989,,
Muskox,1990,,
Muskox,1991,12,9
Muskox,1992,,
Muskox,1993,,
Muskox,1994,,
Muskox,1995,11,6
Muskox,1996,18,10
Muskox,1997,4,1
Muskox,1998,13,2
Muskox,1999,8,2
Muskox,2000,3,3
Muskox,2001,4,1
Muskox,2002,,
Muskox,2003,,
Muskox,2004,,
Muskox,2005,,
Muskox,2006,2,23
Muskox,2007,9,34
Muskox,2008,4,45
Muskox,2009,17,42
Muskox,2010,14,41
