Bore.hole,Depth,date,resistance,multimeter,res.corrected,temperature,beta
15 m,1,6-Apr-01,18064,old,,-16.7,
15 m,2,6-Apr-01,15993,old,,-14.5,
15 m,3,6-Apr-01,13928,old,,-12.1,
15 m,4,6-Apr-01,12523,old,,-10.1,
15 m,5,6-Apr-01,11724,old,,-8.9,
15 m,7,6-Apr-01,10865,old,,-7.4,
15 m,10,6-Apr-01,10824,old,,-7.4,
15 m,12,6-Apr-01,10962,old,,-7.6,
15 m,15,6-Apr-01,11181,old,,-8,
43 m,12,6-Apr-01,NA,old,,NA,
43 m,16,6-Apr-01,NA,old,,NA,
43 m,20,6-Apr-01,NA,old,,NA,
43 m,24,6-Apr-01,NA,old,,NA,
43 m,28,6-Apr-01,NA,old,,NA,
43 m,32,6-Apr-01,NA,old,,NA,
43 m,36,6-Apr-01,NA,old,,NA,
43 m,40,6-Apr-01,NA,old,,NA,
43 m,42,6-Apr-01,NA,old,,NA,
15 m,1,14-Jul-01,7724,old,,-1,
15 m,2,14-Jul-01,9073,old,,-4,
15 m,3,14-Jul-01,10248,old,,-6.4,
15 m,4,14-Jul-01,10963,old,,-7.6,
15 m,5,14-Jul-01,11414,old,,-8.4,
15 m,7,14-Jul-01,11415,old,,-8.4,
15 m,10,14-Jul-01,11184,old,,-8,
15 m,12,14-Jul-01,11022,old,,-7.7,
15 m,15,14-Jul-01,11161,old,,-7.9,
43 m,12,14-Jul-01,NA,old,,NA,
43 m,16,14-Jul-01,NA,old,,NA,
43 m,20,14-Jul-01,NA,old,,NA,
43 m,24,14-Jul-01,NA,old,,NA,
43 m,28,14-Jul-01,NA,old,,NA,
43 m,32,14-Jul-01,NA,old,,NA,
43 m,36,14-Jul-01,NA,old,,NA,
43 m,40,14-Jul-01,NA,old,,NA,
43 m,42,14-Jul-01,NA,old,,NA,
15 m,1,12-Apr-02,15774,old,,-14.3,
15 m,2,12-Apr-02,14983,old,,-13.4,
15 m,3,12-Apr-02,13968,old,,-12.1,
15 m,4,12-Apr-02,13013,old,,-10.9,
15 m,5,12-Apr-02,12264,old,,-9.7,
15 m,7,12-Apr-02,11075,old,,-7.9,
15 m,10,12-Apr-02,10824,old,,-7.4,
15 m,12,12-Apr-02,10912,old,,-7.5,
15 m,15,12-Apr-02,11131,old,,-7.9,
43 m,12,12-Apr-02,NA,old,,NA,
43 m,16,12-Apr-02,NA,old,,NA,
43 m,20,12-Apr-02,NA,old,,NA,
43 m,24,12-Apr-02,NA,old,,NA,
43 m,28,12-Apr-02,NA,old,,NA,
43 m,32,12-Apr-02,NA,old,,NA,
43 m,36,12-Apr-02,NA,old,,NA,
43 m,40,12-Apr-02,NA,old,,NA,
43 m,42,12-Apr-02,NA,old,,NA,
15 m,1,26-Jul-02,740964,old,,-0.2,
15 m,2,26-Jul-02,862003,old,,-3.1,
15 m,3,26-Jul-02,968978,old,,-5.3,
15 m,4,26-Jul-02,1047953,old,,-6.8,
15 m,5,26-Jul-02,1094944,old,,-7.6,
15 m,7,26-Jul-02,1127015,old,,-8.1,
15 m,10,26-Jul-02,1123984,old,,-8.1,
15 m,12,26-Jul-02,1106012,old,,-7.8,
15 m,15,26-Jul-02,1116961,old,,-7.9,
43 m,12,26-Jul-02,NA,old,,NA,
43 m,16,26-Jul-02,NA,old,,NA,
43 m,20,26-Jul-02,NA,old,,NA,
43 m,24,26-Jul-02,NA,old,,NA,
43 m,28,26-Jul-02,NA,old,,NA,
43 m,32,26-Jul-02,NA,old,,NA,
43 m,36,26-Jul-02,NA,old,,NA,
43 m,40,26-Jul-02,NA,old,,NA,
43 m,42,26-Jul-02,NA,old,,NA,
15 m,1,15-Jul-02,768,old,,-0.8,
15 m,2,15-Jul-02,888,old,,-3.6,
15 m,3,15-Jul-02,995,old,,-5.8,
15 m,4,15-Jul-02,1074,old,,-7.2,
15 m,5,15-Jul-02,1118,old,,-8,
15 m,7,15-Jul-02,1136,old,,-8.3,
15 m,10,15-Jul-02,1123,old,,-8.1,
15 m,12,15-Jul-02,1104,old,,-7.8,
15 m,15,15-Jul-02,1117,old,,-7.9,
43 m,12,15-Jul-02,NA,old,,NA,
43 m,16,15-Jul-02,NA,old,,NA,
43 m,20,15-Jul-02,NA,old,,NA,
43 m,24,15-Jul-02,NA,old,,NA,
43 m,28,15-Jul-02,NA,old,,NA,
43 m,32,15-Jul-02,NA,old,,NA,
43 m,36,15-Jul-02,NA,old,,NA,
43 m,40,15-Jul-02,NA,old,,NA,
43 m,42,15-Jul-02,NA,old,,NA,
15 m,1,10-Aug-02,7303,old,,0.3,
15 m,2,10-Aug-02,8446,old,,-2.7,
15 m,3,10-Aug-02,9444,old,,-4.8,
15 m,4,10-Aug-02,10223,old,,-6.3,
15 m,5,10-Aug-02,10734,old,,-7.1,
15 m,7,10-Aug-02,11206,old,,-8.1,
15 m,10,10-Aug-02,11287,old,,-8.2,
15 m,12,10-Aug-02,11129,old,,-8,
15 m,15,10-Aug-02,11236,old,,-8,
43 m,12,10-Aug-02,NA,old,,NA,
43 m,16,10-Aug-02,NA,old,,NA,
43 m,20,10-Aug-02,NA,old,,NA,
43 m,24,10-Aug-02,NA,old,,NA,
43 m,28,10-Aug-02,NA,old,,NA,
43 m,32,10-Aug-02,NA,old,,NA,
43 m,36,10-Aug-02,NA,old,,NA,
43 m,40,10-Aug-02,NA,old,,NA,
43 m,42,10-Aug-02,NA,old,,NA,
15 m,1,9-Apr-03,17.9,old,,-16.6,
15 m,2,9-Apr-03,15.69,old,,-14,
15 m,3,9-Apr-03,14.33,old,,-12.6,
15 m,4,9-Apr-03,12.7,old,,-10.4,
15 m,5,9-Apr-03,11.86,old,,-9.1,
15 m,7,9-Apr-03,10.74,old,,-7.2,
15 m,10,9-Apr-03,10.71,old,,-7.2,
15 m,12,9-Apr-03,10.84,old,,-7.4,
15 m,15,9-Apr-03,11.11,old,,-7.9,
43 m,12,9-Apr-03,NA,old,,NA,
43 m,16,9-Apr-03,NA,old,,NA,
43 m,20,9-Apr-03,NA,old,,NA,
43 m,24,9-Apr-03,NA,old,,NA,
43 m,28,9-Apr-03,NA,old,,NA,
43 m,32,9-Apr-03,NA,old,,NA,
43 m,36,9-Apr-03,NA,old,,NA,
43 m,40,9-Apr-03,NA,old,,NA,
43 m,42,9-Apr-03,NA,old,,NA,
15 m,1,16-May-04,1352,old,,-11.7,
15 m,2,16-May-04,1453,old,,-12.8,
15 m,3,16-May-04,1463,old,,-12.9,
15 m,4,16-May-04,1406,old,,-12.2,
15 m,5,16-May-04,1327,old,,-11.2,
15 m,7,16-May-04,1161,old,,-8.7,
15 m,10,16-May-04,1095,old,,-7.6,
15 m,12,16-May-04,1083,old,,-7.4,
15 m,15,16-May-04,1105,old,,-7.8,
43 m,12,16-May-04,NA,old,,NA,
43 m,16,16-May-04,NA,old,,NA,
43 m,20,16-May-04,NA,old,,NA,
43 m,24,16-May-04,NA,old,,NA,
43 m,28,16-May-04,NA,old,,NA,
43 m,32,16-May-04,NA,old,,NA,
43 m,36,16-May-04,NA,old,,NA,
43 m,40,16-May-04,NA,old,,NA,
43 m,42,16-May-04,NA,old,,NA,
15 m,1,15-Jun-04,835,old,,-2.5,
15 m,2,15-Jun-04,1042,old,,-6.7,
15 m,3,15-Jun-04,1193,old,,-9.2,
15 m,4,15-Jun-04,1268,old,,-10.3,
15 m,5,15-Jun-04,1274,old,,-10.4,
15 m,7,15-Jun-04,1179,old,,-9,
15 m,10,15-Jun-04,1116,old,,-8,
15 m,12,15-Jun-04,1090,old,,-7.5,
15 m,15,15-Jun-04,1105,old,,-7.8,
43 m,12,15-Jun-04,NA,old,,NA,
43 m,16,15-Jun-04,NA,old,,NA,
43 m,20,15-Jun-04,NA,old,,NA,
43 m,24,15-Jun-04,NA,old,,NA,
43 m,28,15-Jun-04,NA,old,,NA,
43 m,32,15-Jun-04,NA,old,,NA,
43 m,36,15-Jun-04,NA,old,,NA,
43 m,40,15-Jun-04,NA,old,,NA,
43 m,42,15-Jun-04,NA,old,,NA,
