"","Parameter","Estimate","SD","Lower","Upper","Standardized","Lower_std","Upper_std","Colour"
"1","",0,0,0,0,0,0,0,"#FFFFFF"
"2","Temperature change",0,0,0,0,0,0,0,"#FFFFFF"
"3","Temp. (Spring)",0.20420400319862,1.94697697724882,0.0324010975018609,0.388750849153439,0.10488259778355,0.0166417466053684,0.199668950221879,"#b70000"
"4","Temp. (Summer)",0.162001355882107,1.62711218828608,0.0128075450047618,0.320273544450174,0.0995637283331714,0.00787133493127639,0.196835563494571,"#b70000"
"5","Temp. (Autumn)",0.132751477515164,1.50890046287211,-0.00647776536061428,0.285164641565643,0.0879789494281676,-0.0042930368967375,0.188988371719926,"#b70000"
"6","Temp. (Winter)",0.192386014845886,1.76880158050306,0.0342194157274207,0.352730182334199,0.108766306501813,0.0193461019622611,0.199417609200621,"#b70000"
"7","Frost frequency",-0.364215159804952,7.91908923334712,-0.597420096106362,-0.136262518906733,-0.0459920514939079,-0.0754405056569685,-0.01720684221273,"#b70000"
"8","Ice, snow and permafrost",0,0,0,0,0,0,0,"#FFFFFF"
"9","Sea ice",-0.112748487222984,7.91908923334712,-0.175639278511881,-0.046714448282728,-0.0142375573630618,-0.0221792270975136,-0.00589896728098661,"#3cd0ea"
"10","Snow melt date",-0.706975934298386,10.7541170768408,-1.38991006764627,-0.0429330679326085,-0.0657400258195879,-0.129244461234244,-0.00399224479572253,"#3cd0ea"
"11","Soil temp.",0.0034138977493919,0.395170030717048,0.00203769449944957,0.00476256896217819,0.00863906036395847,0.00515650059735581,0.0120519487612367,"#3cd0ea"
"12","Active layer depth",0.710636999389317,12.8036247705952,0.145718998333905,1.22620117845872,0.0555027980061838,0.0113810737931467,0.0957698464636996,"#3cd0ea"
"13","Phenology",0,0,0,0,0,0,0,"#FFFFFF"
"14","Leaf emergence (S. arctica)",-0.929980037705961,10.8358831060925,-1.68538185370208,-0.116646333555409,-0.0858241112976826,-0.155537101794174,-0.0107648202193898,"#66c2a5"
"15","Flowering time (S. arctica)",-0.743771404380107,10.986972651189,-1.50014923635987,0.00783076576923721,-0.0676957545989356,-0.136538906938803,0.00071273188874187,"#66c2a5"
"16","Flowering time (D. integrifolia)",-0.532142168483166,7.10091024424806,-1.17736634719352,0.122361035767809,-0.074939993631692,-0.165804989317703,0.0172317395318333,"#6157d1"
"17","Flowering time (E. vaginatum)",-0.54427839748944,7.79888308958126,-1.23961658416111,0.156724781508684,-0.0697892751099906,-0.158947963435578,0.0200957982968173,"#fc8d62"
"18","Leaf senescence (S. arctica)",-0.727823973265022,11.5091531273583,-1.53355413272887,0.0832997194234089,-0.0632387079406319,-0.133246479194327,0.00723769320832112,"#66c2a5"
"19","Growing season (S. arctica)",0.208400111601433,13.1689151052332,-0.904661856297746,1.3270251331035,0.0158251541555323,-0.0686967642412883,0.100769510813852,"#66c2a5"
"20","Growth",0,0,0,0,0,0,0,"#FFFFFF"
"21","Canopy height (Kom.)",0.309741039666366,2.63936606851352,0.194873360349447,0.425674748767051,0.117354331163623,0.0738333960848407,0.161279162388713,"#ffa544"
"22","Canopy height (Her.)",0.591039076158291,4.05724330188105,0.400597046624171,0.772781259830481,0.145675038981337,0.0987362642113286,0.190469538632844,"#2b299b"
"23","Canopy height (S. pulchra)",0.417136483715125,5.24240665892787,0.293053441739175,0.549323515631841,0.0795696539498203,0.0559005549941652,0.104784605882555,"#008c5f"
"24","Shrub growthrings",-0.000331617463382513,0.145228445258186,-0.00540424229984637,0.0043299812823534,-0.00228341949673127,-0.0372120096048591,0.0298149668589758,"#008c5f"
"25","Cover change",0,0,0,0,0,0,0,"#FFFFFF"
"26","Cover (Kom.)",0.106514466640582,0.979239260927504,0.0271985651779687,0.185650198709482,0.108772667611075,0.0277751988336406,0.189586147244178,"#2b299b"
"27","Cover (Her.)",0.263911242168727,2.07016645606712,0.101395932084415,0.432890156793292,0.127483102334729,0.0489796034455345,0.20910886442228,"#ffa544"
"28","Bare ground (Kom.)",-0.0649190486974063,6.18763208183404,-0.133033584483201,0.003587965387851,-0.0104917435036254,-0.0214999183409381,0.00057986081596298,"#2b299b"
"29","Bare ground (Her.)",-0.184520076284542,3.65245472688094,-0.362569312899723,-0.0327097658082494,-0.0298207898989769,-0.058595809851748,-0.00528631395267995,"#ffa544"
"30","Species pool (Kom.)",8.61849748141223,14.4875689876671,7.48687881496153,9.67771408072076,0.594889141770364,0.516779510857544,0.668001242234577,"#ffa544"
"31","Species pool (Her.)",6.49235309310567,11.8911731969558,5.69821133801452,7.32770218499354,0.545980870480277,0.479196732200763,0.616230380604453,"#2b299b"
"32","Active layer depth (Kom.)",0.559440320815476,12.2828551417222,0.443779990397161,0.675861982716924,0.0455464396803948,0.0361300353441227,0.0550248272831265,"#3cd0ea"
"33","Active layer depth (Her.)",0.761527286614593,14.5374787402701,0.666063635813771,0.863425049064972,0.05238372486868,0.0458169980994515,0.0593930395009424,"#3cd0ea"
