"","variable","post.mean","l.95..CI","u.95..CI","eff.samp","pMCMC","effect"
"1","I(year - 1998)",0.0255729024017291,-0.185781031061197,0.220719752272998,7999.99999999997,0.80175,"fixed"
"2","nameAlectoria ochroleuca",-0.112818043464206,-3.00407092904788,2.90474913256185,8341.49648450417,0.93275,"fixed"
"3","nameAlopecurus alpinus",0.00769943388772888,-2.97062594097224,2.82719766310765,7999.99999999999,0.999,"fixed"
"4","nameArctagrostis latifolia",-0.0283197420019122,-2.82033565498568,2.95965199133207,8000.00000000003,0.993,"fixed"
"5","nameAstragalus umbellatus",-0.0356368708266006,-2.97344071279804,2.89378335412766,8000.00000000003,0.98,"fixed"
"6","nameCardamine bellidifolia",0.0135769662406925,-3.01690469961613,2.83771613101999,7999.99999999998,0.98825,"fixed"
"7","nameCardamine digitalis",-0.367577267593135,-3.16089570772601,2.63944567815633,7732.44261686291,0.8,"fixed"
"8","nameCarex sp.",8.40188149709534,5.35899706330383,11.295937333547,8027.45555873742,0.000125,"fixed"
"9","nameCassiope tetragona",0.461030862797729,-2.59087151861604,3.25985222723102,8000,0.76,"fixed"
"10","nameCetraria cucculata",5.35521597746847,2.46776577556557,8.40245248685824,9299.46538334491,0.000750000000000028,"fixed"
"11","nameCetraria islandica",2.87888922249723,0.116135192161892,6.05320685074548,8000,0.0567500000000001,"fixed"
"12","nameCetraria nivalis",0.0237202473161339,-3.02135814004578,2.80349440997816,7999.99999999996,0.9985,"fixed"
"13","nameCladina (brown)",0.00686791072893878,-3.01888300475548,2.93110276429798,7999.99999999999,0.99175,"fixed"
"14","nameCladina mitis",0.0797392369562337,-2.86232065630611,3.07324826375407,8000.00000000002,0.9505,"fixed"
"15","nameDactylina arctica",0.549542072437419,-2.46437398597482,3.39662975828105,8000.00000000001,0.70225,"fixed"
"16","nameDryas integrifolia",3.67082038735935,0.608716006478062,6.5365999146743,8000.00000000001,0.0165,"fixed"
"17","nameEriophorum angustifolium",0.145000831339604,-2.75366377536557,3.06210746202851,8000.00000000002,0.926,"fixed"
"18","nameEriophorum vaginatum",50.6874702831046,47.7652333256847,53.6325423727976,7659.03336035382,0.000125,"fixed"
"19","nameFestuca baffinensis",0.119478306876527,-2.74224739221245,3.14305880264146,8000.00000000001,0.9425,"fixed"
"20","nameHierochloe alpine",0.370847327090135,-2.59467652515741,3.21059222184704,7999.99999999999,0.79575,"fixed"
"21","nameKobresia myosuroides",-0.165747304739027,-3.14454751832091,2.71592705062358,8000.00000000001,0.91075,"fixed"
"22","nameKobresia sibirica",-0.0126125113141147,-2.9125174346409,2.86707292863503,8000.00000000002,0.9935,"fixed"
"23","nameLagotis glauca",-0.122122216659975,-3.09918692059728,2.74653308268171,7724.48874126519,0.93425,"fixed"
"24","nameLupinus arcticus",0.519206891188559,-2.33414300929871,3.49368626822979,7999.99999999997,0.71925,"fixed"
"25","nameLuzula arctica",-0.516463279941084,-3.47762119270919,2.39923848974286,7999.99999999999,0.731,"fixed"
"26","nameOxytropis ",0.00197750892224294,-3.00867469035438,2.85994686279446,9509.9348035018,0.99875,"fixed"
"27","nameOxytropis campestris",0.0234004883244608,-2.8444752167452,2.94315575418295,8300.96272059731,0.98125,"fixed"
"28","nameOxytropis maydelliana",0.00543066593144819,-2.87235113751376,2.9631481399847,8000.00000000002,0.99475,"fixed"
"29","nameOxytropis nigrescens",-0.0236583845147091,-2.92402061869507,2.94100405093923,7999.99999999997,0.98475,"fixed"
"30","namePapaver radicatum",-0.00712387063600514,-2.8211501975311,2.90263392539055,8000.00000000002,0.9875,"fixed"
"31","nameParrya nudicaulis",0.0157871316291956,-2.97366671622149,2.90616029711236,8000.00000000003,0.99225,"fixed"
"32","namePedicularis ",0.00528790169331875,-3.02385071961908,2.92568125066464,8000,0.99625,"fixed"
"33","namePedicularis capitata",0.24598115378342,-2.577485336471,3.24648165737744,9614.51117943675,0.87525,"fixed"
"34","namePedicularis lanata",0.638162449310539,-2.25142375778523,3.72702725418276,8000.00000000002,0.676,"fixed"
"35","namePedicularis sudetica",0.489000571036177,-2.46738542223466,3.42759109586405,7999.99999999994,0.751,"fixed"
"36","namePedicularis vertisilata",0.052776636558841,-2.81432665578905,3.0049489896046,8000,0.9765,"fixed"
"37","namePoa alpina",0.000906622074052502,-2.90974138554884,3.04286406378378,7999.99999999997,0.993,"fixed"
"38","namePoa arctica",-1.43989751025479,-4.45195997594419,1.43492115294794,8000,0.3315,"fixed"
"39","namePolygonum bistorta",1.24525121313473,-1.52059880539218,4.29592865231098,7999.99999999999,0.41225,"fixed"
"40","namePolygonum viviparum",0.525579864475199,-2.50090064128744,3.36437438062785,7999.99999999999,0.72175,"fixed"
"41","namePyrola grandiflora",3.05265799134026,0.153118360758526,6.04763884170097,8000.00000000004,0.0429999999999999,"fixed"
"42","nameSalix arctica",0.396306297029336,-2.53863482033194,3.3204727510456,7999.99999999998,0.79575,"fixed"
"43","nameSalix phlebophylla",3.17970409987767,0.302251474378863,6.17188388979412,7999.99999999997,0.0329999999999999,"fixed"
"44","nameSalix pulchra",16.2243197017245,13.3537776053727,19.2004152099207,8185.71035661445,0.000125,"fixed"
"45","nameSalix reticulata",4.60794331022957,1.75550803102669,7.56036008897354,8301.98122362639,0.002,"fixed"
"46","nameSaussurea angustifolia",1.3296704101543,-1.66225263933302,4.20248148557766,7608.37011036515,0.3775,"fixed"
"47","nameSaxifraga nelsoniana",-0.0651172073322973,-2.97577442659895,2.94175013223139,8399.23791562062,0.98025,"fixed"
"48","nameSenecio atropurpureus",1.3487085145522,-1.63361542540224,4.22723459984991,8265.33819469706,0.36675,"fixed"
"49","nameStellaria longipes",0.651686385941897,-2.33096117234527,3.52171003562398,7999.99999999999,0.6555,"fixed"
"50","nameThamnolia subuliformis",3.94655351215179,1.04757571052687,6.89112815266708,7999.99999999997,0.00950000000000006,"fixed"
"51","nameValeriana capitata",-0.0260008329448409,-3.03017043061118,2.80178794151288,8000.00000000003,0.98025,"fixed"
"52","nameXXXbareground ",4.33111545682739,1.3642019299441,7.22008211241337,8000,0.00449999999999995,"fixed"
"53","nameXXXcetraria:QHI ",0.00670849836712198,-2.94749650904851,2.87945693015354,8372.68848109682,0.99925,"fixed"
"54","nameXXXcladonia:QHI ",0.537105817374397,-2.37462042686093,3.44921040034387,7491.74173312104,0.7145,"fixed"
"55","nameXXXcrustous:QHI ",1.19569684339228,-1.77431695279665,4.13028613897768,8314.32456558672,0.42975,"fixed"
"56","nameXXXfeces ",0.0880490173802363,-2.9462369188841,2.85702532091818,8560.2937899719,0.95525,"fixed"
"57","nameXXXfungus ",0.0552326239260585,-2.91446118676686,3.00710615541902,7999.99999999998,0.9745,"fixed"
"58","nameXXXkobresia:QHI ",-0.056750205058194,-3.06404805529382,2.80268845733372,7999.99999999998,0.968,"fixed"
"59","nameXXXlitter ",30.1791651660418,27.386044605737,33.2600355548784,7999.99999999999,0.000125,"fixed"
"60","nameXXXliverwort:QHI ",-0.029578938181056,-3.02622536106355,2.76399750885321,8000,0.9805,"fixed"
"61","nameXXXLUZSP:QHI ",1.70247446752716,-1.28007533498385,4.55955654091667,8835.90513164012,0.26,"fixed"
"62","nameXXXotheraster:QHI ",0.0198315312870039,-2.79903290892071,3.02782277289953,8426.3988965134,0.99225,"fixed"
"63","nameXXXotherfungus ",-0.0191387323405533,-3.01972842059331,2.80612936698526,8483.06390398115,0.99575,"fixed"
"64","nameXXXothergram ",0.607740341760622,-2.48256991497692,3.45038481747997,8000,0.6765,"fixed"
"65","nameXXXotherherb:QHI ",1.19567366887633,-1.79318647808395,4.12980381693342,8265.02480643196,0.42,"fixed"
"66","nameXXXotherlichen:QHI ",5.46833579360474,2.54856866880436,8.37792323494796,7999.99999999999,0.000125,"fixed"
"67","nameXXXothermoss ",23.3070369062398,20.4049210380763,26.2405316397635,7967.3351618681,0.000125,"fixed"
"68","nameXXXpeltigera:QHI ",1.89662876988772,-1.02308253086449,4.76728052916587,6459.29723478357,0.20575,"fixed"
"69","nameXXXrock ",-0.0545248288634861,-3.14155674267386,2.69463589416409,7999.99999999997,0.96,"fixed"
"70","nameXxxspider",-0.04472207884805,-2.94160677212494,2.89151066172053,8000,0.9925,"fixed"
"71","nameXXXspider",0.0069035338132507,-2.92849473711976,2.93842229604888,7999.99999999998,0.993,"fixed"
"72","nameXXXstandingwater ",-0.129129761237123,-3.04020444795606,2.86874467039888,7999.99999999998,0.93025,"fixed"
"73","nameXXXunkwoody ",-0.0125452321637281,-2.98865015158344,2.82126419417909,8000.00000000001,0.99325,"fixed"
"74","I(year - 1998):nameAlopecurus alpinus",-0.0256317085581106,-0.29048856406007,0.248423359706067,7999.99999999996,0.85125,"fixed"
"75","I(year - 1998):nameArctagrostis latifolia",0.669302858025222,0.409149002058257,0.949501890376268,7999.99999999997,0.000125,"fixed"
"76","I(year - 1998):nameAstragalus umbellatus",-0.0172876367448399,-0.28649434223189,0.255960484908428,7999.99999999998,0.89775,"fixed"
"77","I(year - 1998):nameCardamine bellidifolia",-0.0196741079617981,-0.300379724722006,0.247100021733786,8000.00000000002,0.88575,"fixed"
"78","I(year - 1998):nameCardamine digitalis",0.0510405261648229,-0.217263859907689,0.322678391057707,7999.99999999999,0.71,"fixed"
