"","variable","post.mean","l.95..CI","u.95..CI","eff.samp","pMCMC","effect"
"1","I(year - 1998)",0.0288545484365455,-0.205537122237729,0.285513019105565,7999.99999999999,0.8165,"fixed"
"2","nameAlectoria ochroleuca",-0.113434084331793,-3.45710900655831,3.57125787110999,8000.00000000001,0.93525,"fixed"
"3","nameAlopecurus alpinus",-9.30132248697963,-12.7338207544963,-5.7492859388658,8000.00000000003,0.000125,"fixed"
"4","nameArctagrostis latifolia",-1.22740953725254,-4.78557020828885,2.2380542357605,8000,0.503,"fixed"
"5","nameAstragalus umbellatus",2.97130407165587,-0.511413239350077,6.56484079320217,8000.00000000001,0.0965,"fixed"
"6","nameCardamine bellidifolia",0.0559099169132751,-3.44197308331786,3.50656142506341,8000,0.97025,"fixed"
"7","nameCardamine digitalis",-0.260704376214173,-3.65797069031396,3.32918220821011,7458.78174794054,0.8795,"fixed"
"8","nameCassiope tetragona",-0.0292532699854257,-3.44083022646373,3.50761179498477,8000,0.983,"fixed"
"9","nameCetraria cucculata",4.07456856217035,0.545380656199995,7.51990582345752,7999.99999999999,0.02125,"fixed"
"10","nameCetraria islandica",1.14256646477541,-2.38572584022768,4.72585488077311,8322.28459818628,0.53425,"fixed"
"11","nameCetraria nivalis",0.0285344673454739,-3.38189053582028,3.56308574651484,7463.90759120018,0.979,"fixed"
"12","nameCladina (brown)",-0.0194327642378383,-3.55397763101791,3.43388201350899,10967.9046825906,0.9915,"fixed"
"13","nameCladina mitis",0.0106448560360688,-3.5207574377182,3.48263471592145,7999.99999999998,0.9985,"fixed"
"14","nameDactylina arctica",0.0207380413627233,-3.5912716036546,3.43800367652148,8000,0.97975,"fixed"
"15","nameDryas integrifolia",59.1398160999688,55.6336257986623,62.6845625574933,8000,0.000125,"fixed"
"16","nameEriophorum angustifolium",-0.00761722395193337,-3.57733874136466,3.47089950094232,8511.78097545999,0.997,"fixed"
"17","nameEriophorum vaginatum",0.00881086891161351,-3.44178682609345,3.60084703800385,7999.99999999999,0.998,"fixed"
"18","nameFestuca baffinensis",2.93520726419286,-0.404985956848577,6.57500473226537,8000,0.0960000000000001,"fixed"
"19","nameHierochloe alpine",-0.0469619715128957,-3.29779952793251,3.68479512816702,7999.99999999999,0.97875,"fixed"
"20","nameKobresia myosuroides",-0.0386522293436953,-3.56209243989724,3.45323246352928,8000.00000000003,0.989,"fixed"
"21","nameKobresia sibirica",0.026049951556353,-3.43404490961984,3.43801066603191,8293.43698699217,0.982,"fixed"
"22","nameLagotis glauca",-0.141607168942146,-3.44105302903336,3.5540796534624,8000.00000000002,0.9305,"fixed"
"23","nameLupinus arcticus",0.903300699287276,-2.36503794501186,4.70056614826899,8000.00000000004,0.60825,"fixed"
"24","nameLuzula arctica",-0.172518213563778,-3.87394142901758,3.19909852276032,7926.68022083772,0.9245,"fixed"
"25","nameOxytropis ",0.0545994756901246,-3.49157016881509,3.51099263918877,6768.08312202464,0.9705,"fixed"
"26","nameOxytropis campestris",0.151691145488159,-3.13914600777207,3.84012920207169,7999.99999999998,0.95,"fixed"
"27","nameOxytropis maydelliana",2.05471569887167,-1.49557316824212,5.50410058053239,8391.10451630731,0.2505,"fixed"
"28","nameOxytropis nigrescens",0.887724897167705,-2.6457794290618,4.28015559488995,7999.99999999998,0.613,"fixed"
"29","namePapaver radicatum",0.111532704634873,-3.43226469471119,3.61863124568481,8000,0.94275,"fixed"
"30","nameParrya nudicaulis",-0.00248646941303153,-3.44940328500525,3.63572996393486,8000.00000000003,0.99275,"fixed"
"31","namePedicularis ",-0.0180664252212119,-3.38027773049544,3.73640810906909,7157.24443292361,0.99375,"fixed"
"32","namePedicularis capitata",-0.0181203738364711,-3.6593517397996,3.33122078437736,8040.30246532697,0.99625,"fixed"
"33","namePedicularis lanata",1.30055629692666,-2.13671677547973,4.86061896297906,8000.00000000002,0.46025,"fixed"
"34","namePedicularis sudetica",0.111390851648915,-3.41850105427147,3.60291755575236,8000,0.9515,"fixed"
"35","namePedicularis vertisilata",0.861236755624984,-2.75150389540067,4.33320824900875,8000.00000000001,0.62975,"fixed"
"36","namePoa alpina",0.0234881331767185,-3.48455054362421,3.46848326802137,7999.99999999998,0.98425,"fixed"
"37","namePoa arctica",5.31343253078793,1.76131960289786,8.74039229401387,7999.99999999999,0.00299999999999989,"fixed"
"38","namePolygonum bistorta",-0.159131489213537,-3.65228081914393,3.3935880913441,8000.00000000003,0.93425,"fixed"
"39","namePolygonum viviparum",0.263714182393373,-3.23743558270507,3.76436829383601,7999.99999999999,0.8845,"fixed"
"40","namePyrola grandiflora",0.00757122159961613,-3.56402239261661,3.44203520219889,8000.00000000003,0.995,"fixed"
"41","nameSalix arctica",14.5978825705218,11.0843824644908,18.169834224067,7999.99999999998,0.000125,"fixed"
"42","nameSalix phlebophylla",-0.0318004414886429,-3.68175341363894,3.44130041958852,8798.2352882579,0.9865,"fixed"
"43","nameSalix pulchra",-0.0335148505837153,-3.5747881098996,3.3510475143994,7999.99999999999,0.987,"fixed"
"44","nameSalix reticulata",0.586000629316288,-2.91558310130495,4.04638000680643,7999.99999999999,0.75375,"fixed"
"45","nameSaussurea angustifolia",0.441171164461795,-2.91403832634387,3.9847828392376,8000,0.78925,"fixed"
"46","nameSaxifraga nelsoniana",0.0113936537706892,-3.68874762655469,3.37390732677841,8000,0.99575,"fixed"
"47","nameSenecio atropurpureus",2.9143499561773,-0.410325102799106,6.67089822206799,8000,0.112,"fixed"
"48","nameStellaria longipes",1.43303819296528,-1.95679750177078,4.87804053743457,7999.99999999999,0.41525,"fixed"
"49","nameThamnolia subuliformis",2.98759318352859,-0.623112482680881,6.40026255443809,8000,0.095,"fixed"
"50","nameValeriana capitata",-0.0105888609223777,-3.60326179432741,3.56683632476779,8000,0.98375,"fixed"
"51","nameXXXbareground ",13.172949458006,9.5773613112251,16.6100610372232,8000.00000000001,0.000125,"fixed"
"52","nameXXXcarex:QHI ",2.20051308083312,-1.29220979922684,5.81697008266929,7999.99999999999,0.21575,"fixed"
"53","nameXXXcetraria:QHI ",0.229879034217857,-3.35406784187171,3.73394317072234,8000,0.88575,"fixed"
"54","nameXXXcladonia:QHI ",0.55361609661925,-2.8273944012908,3.98120254420792,7583.09653735917,0.75325,"fixed"
"55","nameXXXcrustous:QHI ",0.641902843335587,-2.75784513516192,4.25024800056781,7999.99999999999,0.7285,"fixed"
"56","nameXXXfeces ",0.159592346371368,-3.15444851576467,3.74996642227961,7999.99999999999,0.92775,"fixed"
"57","nameXXXfungus ",-0.048065337199946,-3.57167395071883,3.44372000483781,8000.00000000001,0.985,"fixed"
"58","nameXXXkobresia:QHI ",1.52402564627255,-1.8383860559843,5.22690357626743,8000.00000000001,0.3975,"fixed"
"59","nameXXXlitter ",50.1857345433733,46.6701134213363,53.6835314425116,8000,0.000125,"fixed"
"60","nameXXXliverwort:QHI ",-0.044453468119605,-3.48714303734596,3.63991668722883,8000.00000000003,0.9785,"fixed"
"61","nameXXXLUZSP:QHI ",2.10495449837531,-1.29535352260427,5.67787913591746,7999.99999999999,0.246,"fixed"
"62","nameXXXotheraster:QHI ",0.0890686823411783,-3.58387550414045,3.47739945799549,8000.00000000003,0.95425,"fixed"
"63","nameXXXotherfungus ",0.00139300819898198,-3.56319297165828,3.48730272270041,8000.00000000001,0.996,"fixed"
"64","nameXXXothergram ",2.89289875350662,-0.73770327042439,6.28330677220947,8771.09720547946,0.10725,"fixed"
"65","nameXXXotherherb:QHI ",2.36607397757756,-1.20860330991491,5.8761040420186,7999.99999999999,0.1925,"fixed"
"66","nameXXXotherlichen:QHI ",3.40089278811912,-0.170467986346921,6.93389365171606,8716.79353159308,0.05775,"fixed"
"67","nameXXXothermoss ",12.4636259479342,8.97695397926145,16.0117008622474,7999.99999999999,0.000125,"fixed"
"68","nameXXXpeltigera:QHI ",0.393169758708384,-3.3256910922355,3.78271382063394,8000,0.83125,"fixed"
"69","nameXXXrock ",-0.0233244374530959,-3.74498252279591,3.23960517531668,7999.99999999997,0.9895,"fixed"
"70","nameXxxspider",-0.00646478785735068,-3.45807763298217,3.61754459479926,8327.67843301597,0.99025,"fixed"
"71","nameXXXspider",-0.0146841433306887,-3.47880647660349,3.63382018756238,7943.33701540587,0.988,"fixed"
"72","nameXXXstandingwater ",0.0195701748822132,-3.57442894726046,3.54511946925777,7999.99999999999,0.99575,"fixed"
"73","nameXXXunkwoody ",0.108834695123481,-3.46636191167636,3.6333376270486,7999.99999999999,0.94125,"fixed"
"74","I(year - 1998):nameAlopecurus alpinus",1.83500840527208,1.50636682263575,2.18227417996968,8000,0.000125,"fixed"
"75","I(year - 1998):nameArctagrostis latifolia",1.0021511566247,0.681387093254671,1.34353059467685,7739.81544586613,0.000125,"fixed"
"76","I(year - 1998):nameAstragalus umbellatus",-0.0289171271806528,-0.357878549636553,0.30916163954862,7999.99999999999,0.8645,"fixed"
"77","I(year - 1998):nameCardamine bellidifolia",-0.0235697671155954,-0.351837679758319,0.327233299049112,7999.99999999999,0.902,"fixed"
"78","I(year - 1998):nameCardamine digitalis",0.0249623967678588,-0.299876999881235,0.364358460763469,6320.42983741283,0.89275,"fixed"
"79","I(year - 1998):nameCassiope tetragona",-0.027885259063722,-0.355603412994242,0.299090434778918,7999.99999999998,0.86475,"fixed"
"80","I(year - 1998):nameCetraria cucculata",-0.132421134118268,-0.483681537269149,0.174174369203683,8000,0.43275,"fixed"
"81","I(year - 1998):nameCetraria islandica",-0.0658272208903073,-0.387470047382521,0.272269201625022,7999.99999999999,0.70025,"fixed"
"82","I(year - 1998):nameCetraria nivalis",-0.0282650480122335,-0.365204279369209,0.310088016296504,7694.06159574491,0.86025,"fixed"
"83","I(year - 1998):nameCladina (brown)",-0.0261099794044407,-0.376053798569046,0.30164980707923,7999.99999999999,0.87975,"fixed"
"84","I(year - 1998):nameCladina mitis",0.0100311721284386,-0.315674545658112,0.361174426332582,8000.00000000003,0.9545,"fixed"
"85","I(year - 1998):nameDactylina arctica",-0.0268066014561259,-0.354815997532569,0.317989284783835,8000,0.87525,"fixed"
"86","I(year - 1998):nameDryas integrifolia",0.278462094056499,-0.0487851802099613,0.618088175207959,7999.99999999998,0.10575,"fixed"
"87","I(year - 1998):nameEriophorum angustifolium",-0.0280431452356834,-0.355308610291104,0.313095571909798,7471.72472786882,0.87625,"fixed"
"88","I(year - 1998):nameEriophorum vaginatum",-0.0294076382380312,-0.375693771915394,0.300003666983685,8000,0.86475,"fixed"
"89","I(year - 1998):nameFestuca baffinensis",0.0226364416166373,-0.3089009730611,0.357280732656363,8000.00000000005,0.8925,"fixed"
"90","I(year - 1998):nameHierochloe alpine",-0.0131562775577396,-0.3519939458929,0.321656258482108,8000.00000000002,0.937,"fixed"
"91","I(year - 1998):nameKobresia myosuroides",-0.0261962494055244,-0.371325605927268,0.291511670660839,8000.00000000002,0.877,"fixed"
"92","I(year - 1998):nameKobresia sibirica",-0.0302015502128847,-0.347876732193981,0.315054326580139,8000.00000000001,0.8585,"fixed"
"93","I(year - 1998):nameLagotis glauca",-0.0061923794749387,-0.33458002084808,0.325918817543425,7966.336763279,0.9825,"fixed"
"94","I(year - 1998):nameLupinus arcticus",0.195035992205164,-0.140108872561541,0.528993200261539,8000.00000000004,0.25825,"fixed"
"95","I(year - 1998):nameLuzula arctica",0.00878060922825052,-0.353345739393262,0.323346599412616,7999.99999999998,0.94825,"fixed"
"96","I(year - 1998):nameOxytropis ",-0.0299693579265043,-0.353948647200014,0.312204369161918,7999.99999999999,0.85025,"fixed"
"97","I(year - 1998):nameOxytropis campestris",-0.0121229775668816,-0.341026400143164,0.325810934475157,8000.00000000002,0.9545,"fixed"
"98","I(year - 1998):nameOxytropis maydelliana",-0.00363107054251119,-0.343160138363601,0.326146688545123,8000.00000000001,0.97525,"fixed"
"99","I(year - 1998):nameOxytropis nigrescens",-0.0313158848572892,-0.367614455339208,0.301506030853488,6823.63167726413,0.85575,"fixed"
"100","I(year - 1998):namePapaver radicatum",-0.0343784901775125,-0.350306586187799,0.319655886419014,7999.99999999998,0.8315,"fixed"
"101","I(year - 1998):nameParrya nudicaulis",-0.0231909641760111,-0.362952254086849,0.310385146614863,7999.99999999999,0.90125,"fixed"
"102","I(year - 1998):namePedicularis ",-0.0257784770600889,-0.362764336692635,0.303322758089053,7651.48214204076,0.8865,"fixed"
"103","I(year - 1998):namePedicularis capitata",-0.0183762767196874,-0.337898640704225,0.318545955688023,8000,0.91725,"fixed"
"104","I(year - 1998):namePedicularis lanata",-0.101268386703381,-0.422864893100268,0.231109158485197,7699.2009376304,0.55625,"fixed"
"105","I(year - 1998):namePedicularis sudetica",-0.0304388697038514,-0.35889051410777,0.308032047862071,8000,0.84525,"fixed"
"106","I(year - 1998):namePedicularis vertisilata",-0.00734696071895972,-0.339448724444082,0.331139519927092,7999.99999999997,0.9705,"fixed"
"107","I(year - 1998):namePoa alpina",-0.0303400096253162,-0.353199815891003,0.308703801434604,7737.73096679008,0.8515,"fixed"
"108","I(year - 1998):namePoa arctica",-0.0838734457454077,-0.434994394869136,0.234641354827545,8020.03453334535,0.61325,"fixed"
"109","I(year - 1998):namePolygonum bistorta",0.00147622366540393,-0.331113113585161,0.338551438908326,8000.00000000001,0.99925,"fixed"
